year   IAGA     geolat      geolon    declination
1998   JRS        0.00      281.70      359.04
1998   JYP        2.51      140.70        3.23
1998   KPG      -10.20      123.40        2.30
1998   KRT       33.37       13.02        0.96
1998   KUJ       33.06      131.23      353.46
1998   LAG        6.48        3.27      355.73
1998   LGZ       13.10      123.74      359.12
1998   LKW        6.30       99.78      359.66
1998   LSK      -15.23       28.19      354.12
1998   LWA       -5.02      104.06        0.10
1998   MLB      -38.36      145.18       12.00
1998   MND        1.44      124.84        1.20
1998   NAB       -1.16       36.48      359.94
1998   PRP       -3.60      119.40        1.53
1998   PTK       52.94      158.25      353.36
1998   ROC      -23.19      150.31        9.50
1998   SBH        6.02      116.07        0.42
1998   SCN       -0.55      100.30      359.61
1998   TGG       17.66      121.76      358.22
1998   TIR        8.48       76.95      357.33
1998   WAD       51.90      256.10       11.83
1998   G01      -29.72      306.28      347.72
1998   KLD       54.50       20.20        3.66
1998   T54       39.10      283.15      349.16
1998   T55       60.55      208.74       21.79
1998   T56       45.59      267.03        1.80
1998   T57       38.25      255.39       10.25
1998   T58       37.42      237.83       15.48
1998   BRN       47.80      132.41      348.43
1998   PG0      -83.67       88.68      252.58
1998   PG5      -81.96        5.71      333.09
1998   HRP       49.20      275.30      351.99
1998   LCL       51.00      252.90       14.10
1998   T59       57.79      207.60       20.25
1998   T60       66.63      210.40       25.43
1998   T61       37.88      284.56      348.55
1998   T62       65.90       26.41        8.34
1998   PKS       52.50      252.80       14.60
1998   FTN       58.90      237.20       25.66
1998   W01      -41.55      147.21       14.19
1998   W02      -29.03      167.97       15.05
1998   W03       -2.70      141.30        4.24
1998   W04      -66.28      111.53      260.01
1998   W05      -68.58       77.96      281.68
1998   NR2       60.50       24.65        6.22
1998   CPL       17.30       78.90      358.76
1998   TTB       -1.21      311.49      340.70
1998   R01       38.90      267.78        2.02
1998   R02       38.68      282.22      350.01
1998   R03       44.90      266.27        2.62
1998   R04       40.01      254.76       10.82
1998   R05       41.58      275.83      354.44
1998   R06       31.84      257.68        8.45
1998   R07       47.13      266.34        2.22
1998   R08       44.33      286.44      344.65
1998   R09       41.65      287.28      345.31
1998   R10       42.61      288.52      344.14
1998   SKD       66.57       66.78       22.71
1998   BEY       73.30       70.00       30.52
1998   KHS       71.16       66.83       27.67
1998   GLK       40.94       44.47        5.11
1998   KLI       60.86       39.52       11.98
1998   KZN       55.93       48.74       11.73
1998   MHV       54.94       37.73        8.79
1998   NAD       65.53       72.51       21.33
1998   WSE       66.55       33.10       11.93
1998   POD       61.58       90.03       10.09
1999   SON       25.12       66.44        0.36
1999   AMU       61.24      210.13       22.40
1999   YKC       62.48      245.52       24.85
1999   CBB       69.12      254.97       18.18
1999   RES       74.69      265.11      318.89
1999   BLC       64.32      263.99      358.84
1999   MEA       54.62      246.65       19.15
1999   SIT       57.06      224.67       24.48
1999   PBQ       55.28      282.26      340.44
1999   MEK       62.77       30.97        9.63
1999   STJ       47.60      307.32      337.93
1999   ALE       82.50      297.50      291.01
1999   LRV       64.18      338.30      340.81
1999   BOU       40.14      254.76       10.73
1999   FRN       37.09      240.28       14.90
1999   VIC       48.52      236.58       19.63
1999   NEW       48.27      242.88       17.96
1999   LOV       59.35       17.83        3.35
1999   LER       60.13      358.82      354.32
1999   VAL       51.93      349.75      352.24
1999   HAD       50.98      355.52      355.00
1999   ESK       55.32      356.80      354.56
1999   MAB       50.30        5.68      359.01
1999   DOU       50.10        4.60      358.65
1999   BFE       55.62       11.67        0.81
1999   CLF       48.02        2.27      358.08
1999   OTT       45.40      284.45      345.54
1999   WNG       53.75        9.07      359.93
1999   VRE      -17.28      292.38      355.13
1999   SHE      -15.95      354.27      340.74
1999   SMA       36.99      334.87      348.96
1999   PNL      -16.68      303.83      345.69
1999   THY       46.90       17.54        2.46
1999   BEL       51.83       20.80        3.65
1999   FUR       48.17       11.28        0.89
1999   NGK       52.07       12.68        1.25
1999   BDV       49.07       14.02        1.64
1999   FRD       38.20      282.63      349.79
1999   CRP       10.44      275.09        0.91
1999   HYB       17.40       78.60      358.80
1999   IPM      -27.20      250.58       15.55
1999   KMH      -26.54       18.11      342.57
1999   NMP      -15.09       39.25      352.34
1999   DED       70.36      211.21       27.68
1999   KEP      -54.28      323.51      353.07
1999   CDP       31.00      256.30        8.91
1999   DMC      -75.25      235.83       64.24
1999   LON       45.41       16.66        2.19
1999   SPG       60.54       29.72        8.37
1999   TAB       76.54      291.18      297.41
1999   ROE       55.17        8.55      359.63
1999   THL       77.47      290.77      295.09
1999   SVS       76.02      294.90      300.79
1999   KUV       74.57      302.82      308.33
1999   UPN       72.78      303.85      311.67
1999   UMQ       70.68      307.87      316.87
1999   GDH       69.25      306.47      318.06
1999   ATU       67.93      306.43      319.79
1999   STF       67.02      309.28      322.18
1999   SKT       65.42      307.10      323.21
1999   GHB       64.17      308.27      325.09
1999   FHB       62.00      310.32      328.11
1999   NAQ       61.16      314.56      330.49
1999   NRD       81.60      343.33      334.38
1999   DMH       76.77      341.37      335.65
1999   DNB       74.30      339.78      335.79
1999   SCO       70.48      338.03      336.78
1999   AMK       65.60      322.37      330.35
1999   MCN       73.93      322.38      322.80
1999   MCE       72.40      326.10      326.85
1999   MCW       72.00      317.41      321.18
1999   MCG       72.60      321.65      323.50
1999   MCR       66.48      313.71      324.90
1999   TDC      -37.10      347.69      335.57
